utc	boot_id	uptime_s	head	scratch_dirs	rerun_present	note
2026-08-05T18:28:26Z	93c99425-c634-4ef3-9d88-da311b22fb37	2414	de00389	13	yes	-
2026-08-05T18:48:59Z	93c99425-c634-4ef3-9d88-da311b22fb37	3647	00cbd28	13	yes	seen_boot_id_before(x1)
2026-08-05T19:10:25Z	38b3a1a1-49d3-48ec-b3af-438b0fd7b5e7	69	640e934	13	no	-
2026-08-05T19:50:05Z	15f51065-7d04-4929-b2ad-247097d91ca0	81	8bc5a7a	13	no	-
2026-08-05T20:14:40Z	6d3ccbdc-e25d-4c6a-92d4-848fa0452735	73	36003cc	13	no	-
2026-08-05T20:50:21Z	2e77ae3e-14f6-4aaa-9876-6f8453c36feb	77	573cfe7	13	no	-
2026-08-05T21:15:04Z	5fbe8e89-b2d0-48ef-9fc0-ad952b59e3be	59	0d5b218	13	no	-
2026-08-05T21:50:16Z	5fa55109-c565-4135-b852-97366c470b27	92	86de214	13	no	-
2026-08-05T22:13:21Z	baefcc1e-42b6-4c29-b5fe-f8436f1fa7f1	65	9647afd	13	no	-
2026-08-05T22:50:11Z	cafd7bac-b2c8-4edf-a19e-29fbb211d53f	79	b5ef2a2	13	no	-
2026-08-05T23:11:04Z	c51f478c-4665-4e36-baa0-e02af142e29f	62	7d3b042	13	no	-
2026-08-05T23:49:26Z	b2ba8b1a-db5e-4d5c-87a1-e1da2aaf6ea1	73	f4b883e	13	no	-
2026-08-06T00:10:37Z	b2ba8b1a-db5e-4d5c-87a1-e1da2aaf6ea1	1344	58982af	13	yes	seen_boot_id_before(x1)
2026-08-06T00:49:43Z	13573683-3957-417b-a585-3a87c6f6c2e3	72	f526b58	13	no	-
2026-08-06T01:10:47Z	13573683-3957-417b-a585-3a87c6f6c2e3	1337	d095f62	13	yes	seen_boot_id_before(x1)
2026-08-06T01:50:13Z	632b6671-ab19-4697-9b72-341f12764c8f	80	e577682	13	no	-
2026-08-06T02:09:56Z	632b6671-ab19-4697-9b72-341f12764c8f	1262	4a0d182	13	yes	seen_boot_id_before(x1)
2026-08-06T02:49:42Z	09f4dbff-3654-4f75-991f-dcccbee99875	87	9a14a89	13	no	-
2026-08-06T03:11:54Z	1ae20dfa-af56-48e4-9a59-8a2fbb66663c	61	3ad515d	13	no	-
2026-08-06T05:50:00Z	bb169679-0d48-473b-88f2-dc23c42a02a8	107	23c84bb	13	no	-
2026-08-06T06:14:33Z	d3c36f4c-66d6-46e4-ab4c-a6af59f89866	71	607949c	13	no	-
2026-08-06T06:50:05Z	5ce49c01-7087-460f-8476-1c75a6a3410a	109	178515b	13	no	-
2026-08-06T06:50:42Z	5ce49c01-7087-460f-8476-1c75a6a3410a	146	11a3915	25	no	seen_boot_id_before(x1)
2026-08-06T07:14:19Z	35dd779f-f562-4845-a232-c0e35e819002	55	94d1ab7	13	no	-
